	warning	PAHs	PM10	O3	NOx	CH4	PM2.5
0	0	0.4586116152852786	0.880595224178137	0.6481963626593656	0.6128436402916553	0.24955930617163635	0.4801119826204896
1	0	0.2554987034464804	0.23521322611012296	0.5422538589970767	0.6290863264020163	0.6458985026024973	0.50676036559385
2	0	0.7075291816994393	0.27227168408941305	0.6825547104392826	0.9478044828517416	0.45293870669982805	0.5005281066775491
3	1	0.7565837257016406	0.15934275535757125	0.6960236177657797	0.6856872805833105	0.26794986025999323	0.3469510841189922
4	1	0.4622298353754237	0.4061263666959949	1.0	0.4632154109280764	0.6915303453757593	0.5517529540967276
5	1	0.1270252639333277	0.6308367225137976	0.794307299629613	0.5276442524079574	0.5032050460244608	0.2771824908631544
6	1	0.583357370977023	0.38634503805521536	0.04286157507212629	0.2729876676568548	0.7242057895951386	0.627078669891318
7	0	0.3691649544468161	0.13724488854159578	0.8602636848064582	0.9999999999999998	0.9319440527165967	0.8710459512821591
8	1	0.6449218443751175	0.0	0.0	0.3692087496624359	0.49614913720161	0.2633767020938229
9	1	0.8140521846150206	1.0	0.2514793088668974	0.21122513277522725	0.9999999999999998	0.9737446964286789
10	1	0.39471290177996887	0.675509299993232	0.9399928353473257	0.7529300567107748	0.33810190764339376	0.5112777781111786
11	0	0.6486036717685639	0.3266134242310508	0.5981861274412594	0.6847312989467997	0.7353192866849567	0.6469501839371554
12	1	0.46950769426483996	0.8424292579079169	0.544751891916097	0.689824466648663	0.24487993897592353	0.3901058013718772
13	0	0.4364807114550837	0.13033219095904025	0.41769125464582935	0.628681249437393	0.6111221507140843	0.4751534810031628
14	0	0.8764124889241935	0.8124188596356299	0.8701374717731876	0.9105644072373751	0.4246141124586549	0.2659302179040166
15	1	0.6013094229042504	0.46152639253785477	0.5728251760777365	0.28621118012422353	0.545109420271275	0.6370301800963796
16	0	0.18137548574530749	1.0	0.4825041740498839	0.9999999999999998	0.9428235814466295	0.651853174341217
17	1	0.9338883440356323	0.16762137983227365	0.7040246796696585	0.7486326402016383	0.7433960026665982	1.0
18	0	0.9617557390798834	0.739594036683136	0.8481781311771142	0.8741272841839947	0.6961728545421912	0.3220730587578693
19	1	0.4008236406157779	1.0	0.7621367297198749	0.6897686560446485	0.288739391297659	0.537099494097808
20	1	0.4834968632724035	0.6114553274225205	0.0	0.40556845800702135	0.6669444373221196	0.5877902336271927
21	1	0.4175020672373575	0.4831135749752349	0.38211267695732554	0.5101521289044917	0.12274845516781596	0.32992414467722475
